=== RUN STARTED 2025-11-21 17:45:47 ===
[17:45:57.887] Window ZK_USDT Binance→Bybit size: 100
[17:45:57.888] Window HBAR_USDT Bybit→GateIo size: 100
[17:45:57.888] Window OP_USDT Bybit→GateIo size: 100
[17:45:57.889] Window ENA_USDT Bybit→GateIo size: 100
[17:45:57.889] Window DYM_USDT Binance→Bybit size: 100
[17:45:57.889] Window ONDO_USDT Binance→GateIo size: 100
[17:45:57.890] Window DOGE_USDT Binance→GateIo size: 400
[17:45:57.890] Window LTC_USDT Bybit→GateIo size: 100
[17:45:57.890] Window STRK_USDT Binance→Bybit size: 100
[17:45:57.891] Window ETH_USDT Bybit→GateIo size: 400
[17:45:57.891] Window AAVE_USDT Binance→GateIo size: 100
[17:45:57.891] Window ADA_USDT Binance→Bybit size: 100
[17:45:57.892] Window DOGE_USDT Binance→Bybit size: 400
[17:45:57.892] Window HBAR_USDT Binance→GateIo size: 100
[17:45:57.893] Window AAVE_USDT Bybit→GateIo size: 200
[17:45:57.996] Window WLD_USDT Binance→Bybit size: 100
[17:45:57.996] Window ASTER_USDT Binance→GateIo size: 100
[17:45:57.997] Window STRK_USDT Binance→GateIo size: 100
[17:45:57.998] Window NEAR_USDT Bybit→GateIo size: 100
[17:45:57.998] Window BTC_USDC Bybit→GateIo size: 200
[17:45:57.999] Window ALLO_USDT Binance→GateIo size: 100
[17:45:58.021] Window TAO_USDT Binance→GateIo size: 200
[17:45:58.022] Window PENGU_USDT Binance→Bybit size: 100
[17:45:58.022] Window APT_USDT Binance→Bybit size: 100
[17:45:58.023] Window OP_USDT Binance→Bybit size: 100
[17:45:58.023] Window SUI_USDT Binance→GateIo size: 200
[17:45:58.023] Window XPL_USDT Binance→Bybit size: 200
[17:45:58.024] Window ASTER_USDT Binance→Bybit size: 200
[17:45:58.188] Window PENGU_USDT Bybit→GateIo size: 200
[17:45:58.189] Window MMT_USDT Binance→Bybit size: 400
