symbol,exchange_1,exchange_2,is_cointegrated,opportunities_per_hour,relative_spread_std_dev,tradeability_score,half_life,zero_crossings,average_volume,stationarity_score,coint_p_value,hedge_ratio,spread_std_dev,data_points
MLNUSDT,Binance,GateIo,1,6715.434244706355,0.09835845275248509,46.45275930013027,5.403338871180815,251,2000000.0,0.5264906441306403,5.2442811493372896e-17,0.9766519543003223,0.008538273013856906,3195
RVVUSDT,GateIo,Kucoin,1,4506.097685134849,0.10149976480018556,287.39733429046595,1.8197802748978034,523,2000000.0,0.6876573941248538,0.006268751948025839,0.9818746357884778,0.000011784759761082058,2072
KDAUSDT,Bybit,Binance,1,4167.975776575507,0.21361495168240496,16.81904620913502,9.572480983645505,161,2000000.0,0.5840915113294965,0.00004113322912258975,0.9831378738118861,0.00019372449345525636,2896
FUSDT,GateIo,Kucoin,1,3601.1837609437434,0.17818813103496328,445.90675467143836,1.5294677482571988,682,2000000.0,0.6836337000923054,2.601794718859722e-17,0.9688651139261982,0.000021414552095900876,2769
FFUSDT,Binance,GateIo,1,3541.7582135513785,0.08036294500649312,2941.233571665412,2.4238129432078233,7129,2000000.0,0.6373870100507014,5.418645144431963e-23,0.9835534073652316,0.0001269974278484817,53048
KDAUSDT,Binance,Kucoin,1,3219.6316154927695,0.14804584741523977,98.47153627471023,4.813573728327565,474,2000000.0,0.8235594946940626,3.589012389059649e-9,1.0213494687840723,0.0001340588295814087,3841
FUSDT,Bybit,Kucoin,1,2377.3842986635314,0.2070318307382337,235.7783771807196,2.2690799996045983,535,2000000.0,0.6868735951047036,0.0029442406394911383,0.9048839817361178,0.000024880146704904964,2533
FETUSDT,Bybit,Binance,1,2216.637669952961,0.1325346629199282,4.980707795114374,10.440283216575628,52,2000000.0,0.7654696384757677,7.07856228153791e-11,1.0646834801970904,0.00032737165530207353,1657
KDAUSDT,Binance,GateIo,1,2017.452344597442,0.16251491091097997,225.46069895320196,2.741054218625819,618,2000000.0,0.6224733339008243,0.000010285500758928978,1.0220392971772598,0.00014734707640902804,5445
LIGHTUSDT,GateIo,Kucoin,1,1896.235322711543,0.10653097947563182,127.26506969995003,4.195966742948396,534,2000000.0,0.572891392133761,1.4302738532925877e-12,0.9964581821508719,0.0018487304456769609,4543
BLUAIUSDT,GateIo,Kucoin,1,1360.210912559296,0.2484748147426656,19.76970785516131,4.653584194264226,92,2000000.0,0.6747048559275995,0.005444161350224398,0.9824278680375409,0.00005157141463131036,495
HANAUSDT,GateIo,Kucoin,1,654.0957007604555,0.09947237402138387,184.80486607957553,1.9101228635830452,353,2000000.0,0.9104294796976958,1.03795496425627e-8,0.9713629598745642,0.00006368055958751311,1377
KDAUSDT,Bybit,GateIo,1,622.4810172108316,0.17208271148330664,63.7201797197685,2.526672095214626,161,2000000.0,0.9134568302593111,0.00002040083640985257,1.0059541588218086,0.0001556352700708896,737
FFUSDT,Bybit,Binance,1,553.0850237634518,0.05238820927356361,106.88869135711924,14.856576311655184,1588,2000000.0,0.5129243607340429,1.4918889774465316e-21,0.9926254360768634,0.0000826879180388825,41529
FUSDT,Bybit,GateIo,1,552.5266583648141,0.1611167474356825,69.71902635285048,3.55713516056382,248,2000000.0,0.6281169545690057,0.017814897259155867,0.8961411990904211,0.000019385352812887736,1380
ZBTUSDT,Bybit,GateIo,1,515.9776643364324,0.05007262688543389,29.457503224861412,5.363658922275934,158,2000000.0,0.8866659346709892,0.0021152816197404427,0.8367473497062973,0.00013553755349018785,1033
KDAUSDT,Bybit,Kucoin,1,512.6904354366086,0.19821690857601304,54.425689298319895,3.0684039495509934,167,2000000.0,0.6174448956791297,0.010424171305211874,1.002935101700611,0.00017937783965559997,1136
FFUSDT,Binance,Kucoin,1,488.517874947244,0.06592039808380042,914.0798708726189,4.505076778541009,4118,2000000.0,0.5602955548820782,2.4966958112781284e-25,1.0047771448286813,0.00010404502579452812,38367
DOGSUSDT,Bybit,Binance,1,403.7058864231229,0.11901324955826639,16.341683782686474,4.773069962511371,78,2000000.0,0.8326858394501767,2.079010743496375e-8,0.9738680630474096,7.173453739134964e-8,809
ENSOUSDT,Bybit,Binance,1,402.3986020791376,0.058363337847755166,46.25235693109124,3.0268727755555904,140,2000000.0,0.9097905969011494,8.462651914819234e-6,1.0112801622265146,0.0009014352865861953,1035
KDAUSDT,GateIo,Kucoin,1,389.2818646877405,0.15277388228844332,103.36493753028424,2.1090323779872606,218,2000000.0,0.6815331280770215,0.018574733762870332,0.9982525330857058,0.0001382503999569789,1104
FFUSDT,GateIo,Kucoin,1,372.07265522453935,0.08021834858433864,1134.9288344277024,1.8512173946654964,2101,2000000.0,0.7170225001596258,6.7576365647042454e-9,1.02198054698027,0.00012719027727616156,9238
ENSOUSDT,Binance,Kucoin,1,356.2906187800345,0.07064278042598361,13.785781103403691,3.9896179685038358,55,2000000.0,0.647666639561898,0.025507614167007295,0.9486082889338859,0.001094214120525365,391
KDAUSDT,Binance,OKX,1,343.4622907026666,0.2571830490568762,6.026814675217275,4.4799784720486056,27,2000000.0,0.612604575833542,0.0000201909177826683,1.0274250206821767,0.0002323087083207046,293
AVNTUSDT,Bybit,Binance,1,341.5009227774483,0.0680880714878053,45.1389700824373,7.775986012949979,351,2000000.0,0.6351896207175425,1.2933594826405359e-7,0.9490243112233074,0.00042487705559900017,3941
UBUSDT,GateIo,Kucoin,1,277.20828159741274,0.07687750089119644,370.344768735896,2.824395234662904,1046,2000000.0,0.6602339357635686,4.3208942115786216e-8,1.0149223279006703,0.00003128662065945539,6930
