Timestamp,Elapsed_sec,CPU%,Memory_MB,Events/sec,Freeze_ms,LastActivity
03:29:18,1.0,5.2,52,0,0,Startup
03:29:19,2.0,13.9,116,0,0,Startup
03:29:20,3.0,14.9,150,0,0,Startup
03:29:21,4.0,18.4,161,351,0,ProcessData
03:29:22,5.0,22.9,175,845,0,ProcessData
03:29:23,6.0,22.9,192,667,0,ProcessData
03:29:24,7.0,10.4,201,677,0,ProcessData
03:29:25,8.0,13.6,204,1310,0,ProcessData
03:29:26,9.0,10.0,207,1148,0,ProcessData
03:29:27,10.0,16.4,210,2831,0,ProcessData
03:29:28,11.0,16.9,221,3068,0,ProcessData
03:29:29,12.0,20.3,240,1983,0,ProcessData
03:29:30,13.0,25.3,240,1855,0,ProcessData
03:29:31,14.0,28.4,244,2301,0,ProcessData
03:29:32,15.0,23.3,246,1630,0,ProcessData
03:29:33,16.0,11.6,246,2151,0,ProcessData
03:29:34,17.0,11.0,234,3607,0,ProcessData
03:29:35,18.0,12.4,231,2277,0,ProcessData
03:29:36,19.0,12.4,209,2557,0,ProcessData
03:29:37,20.0,17.7,221,6032,0,ProcessData
03:29:38,21.0,19.5,247,7707,0,ProcessData
03:29:39,22.0,19.6,247,6839,0,ProcessData
03:29:40,23.0,16.4,248,6716,0,ProcessData
03:29:41,24.0,23.4,253,6554,0,ProcessData
03:29:42,25.0,15.5,249,2333,0,ProcessData
03:29:43,26.0,24.1,250,4879,0,ProcessData
03:29:44,27.0,16.1,251,2551,0,ProcessData
03:29:45,28.0,9.3,252,1616,0,ProcessData
03:29:46,29.0,35.8,260,12221,0,ProcessData
03:29:47,30.0,40.3,262,15986,0,ProcessData
03:29:48,31.0,29.9,265,5808,0,ProcessData
03:29:49,32.0,24.4,268,4231,0,ProcessData
03:29:50,33.0,24.6,275,3307,0,ProcessData
03:29:51,34.0,23.4,283,3746,0,ProcessData
03:29:52,35.0,18.1,287,3638,0,ProcessData
03:29:53,36.1,32.6,296,8955,0,ProcessData
03:29:54,37.0,31.8,287,3521,0,ProcessData
03:29:55,38.0,41.1,290,13520,0,ProcessData
03:29:56,39.0,27.1,293,3767,0,ProcessData
03:29:57,40.0,40.4,301,3856,0,ProcessData
03:29:58,41.0,28.0,307,2792,0,ProcessData
03:29:59,42.0,32.0,317,5929,0,ProcessData
03:30:00,43.0,44.8,307,7146,0,ProcessData
03:30:01,44.0,34.1,310,3983,0,ProcessData
03:30:02,45.0,34.6,314,4211,0,ProcessData
03:30:03,46.0,36.9,322,4181,0,ProcessData
03:30:04,47.0,44.4,331,5672,0,ProcessData
03:30:05,48.0,58.2,346,11409,0,ProcessData
03:30:06,49.0,48.4,340,4156,0,ProcessData
03:30:07,50.0,49.2,344,3231,0,ProcessData
03:30:08,51.0,48.7,351,5336,0,ProcessData
03:30:09,52.0,47.9,361,2951,0,ProcessData
03:30:10,53.0,56.4,348,8061,0,ProcessData
03:30:11,54.1,54.8,354,4884,0,ProcessData
03:30:12,55.0,61.2,362,9497,0,ProcessData
03:30:13,56.1,61.8,379,5327,0,ProcessData
03:30:14,57.0,59.1,363,5573,0,ProcessData
03:30:15,58.0,58.7,369,6467,0,ProcessData
03:30:16,59.0,58.6,379,5364,0,ProcessData
03:30:17,60.0,47.4,357,2476,0,ProcessData
03:30:18,61.0,42.6,363,3367,0,ProcessData
03:30:19,62.0,55.1,370,3261,0,ProcessData
03:30:20,63.0,46.2,380,2787,0,ProcessData
03:30:21,64.0,59.3,369,2887,0,ProcessData
03:30:22,65.0,55.1,378,3321,0,ProcessData
03:30:23,66.0,66.2,391,5623,0,ProcessData
03:30:24,67.0,65.9,376,2889,0,ProcessData
03:30:25,68.0,56.1,383,2318,0,ProcessData
03:30:26,69.1,52.7,390,5089,0,ProcessData
03:30:27,70.1,63.6,395,7409,0,ProcessData
03:30:28,71.1,69.8,398,8764,0,ProcessData
03:30:29,72.0,65.6,411,2988,0,ProcessData
03:30:30,73.0,56.8,409,2085,0,ProcessData
03:30:31,74.0,67.4,387,8551,0,ProcessData
03:30:32,75.0,65.8,397,4418,0,ProcessData
03:30:33,76.1,68.4,407,7530,0,ProcessData
03:30:34,77.0,69.0,403,4161,0,ProcessData
03:30:35,78.0,62.8,406,3902,0,ProcessData
03:30:36,79.0,64.2,411,3164,0,ProcessData
03:30:37,80.0,65.7,402,2678,0,ProcessData
