Timestamp,Elapsed_sec,CPU%,Memory_MB,Events/sec,Freeze_ms,Activity,CpuSpikes,MemLeaks,EventStorms
04:18:05,96.1,71.1,443,3464,0,ProcessData,0,0,0
04:18:06,97.1,66.2,459,4026,0,ProcessData,0,0,0
04:18:07,98.0,70.6,444,2247,0,ProcessData,0,0,0
04:18:08,99.1,63.7,446,6401,0,ProcessData,0,0,0
04:18:09,100.1,74.7,454,4390,0,ProcessData,0,0,0
04:18:10,101.1,74.3,454,4209,0,ProcessData,0,0,0
04:18:11,102.1,72.9,453,9257,0,ProcessData,0,0,0
04:18:12,103.1,58.2,468,4596,0,ProcessData,0,0,0
04:18:13,104.1,62.8,466,4393,0,ProcessData,0,0,0
04:18:14,105.1,67.8,463,3939,0,ProcessData,0,0,0
04:18:15,106.1,76.6,471,10277,0,ProcessData,0,0,0
04:18:16,107.1,74.7,473,3573,0,ProcessData,0,0,0
04:18:17,108.0,70.7,482,5158,0,ProcessData,0,0,0
04:18:18,109.1,67.4,480,5994,0,ProcessData,0,0,0
04:18:19,110.0,73.2,489,3487,0,ProcessData,0,0,0
04:18:20,111.1,74.1,491,9139,0,ProcessData,0,0,0
04:18:21,112.1,69.6,493,2606,0,ProcessData,0,0,0
04:18:22,113.2,75.7,507,4789,0,ProcessData,0,0,0
04:18:23,114.1,74.4,515,5105,0,ProcessData,0,0,0
04:18:24,115.2,69.9,505,5683,0,ProcessData,0,0,0
04:18:26,116.7,75.0,513,6346,460,ProcessData,0,0,0
04:18:26,117.3,70.3,511,3720,0,ProcessData,0,0,0
04:18:27,118.2,65.3,511,5122,0,ProcessData,0,0,0
04:18:28,119.1,74.6,524,3054,0,ProcessData,0,0,0
04:18:29,120.3,74.2,523,4847,273,ProcessData,0,0,0
04:18:30,121.1,66.0,522,3700,0,ProcessData,0,0,0
04:18:31,122.0,74.6,523,886,0,ProcessData,0,0,0
04:18:33,124.0,69.8,533,4066,0,ProcessData,0,0,0
04:18:34,125.2,70.2,525,3675,0,ProcessData,0,0,0
04:18:35,126.1,72.3,552,9090,0,ProcessData,0,0,0
04:18:36,127.3,72.6,540,2166,205,ProcessData,0,0,0
04:18:37,128.1,68.0,543,1424,0,ProcessData,0,0,0
04:18:38,129.3,70.7,538,3539,0,ProcessData,0,0,0
04:18:39,130.0,67.2,541,1702,0,ProcessData,0,0,0
04:18:40,131.1,74.9,552,2468,0,ProcessData,0,0,0
04:18:41,132.2,73.9,562,3505,0,ProcessData,0,0,0
04:18:42,133.1,74.9,553,3409,0,ProcessData,0,0,0
04:18:43,134.1,66.7,550,2764,0,ProcessData,0,0,0
04:18:44,135.2,71.0,565,5114,0,ProcessData,0,0,0
04:18:45,136.2,70.0,559,4126,0,ProcessData,0,0,0
04:18:46,137.1,73.8,576,2006,0,ProcessData,0,0,0
04:18:47,138.1,73.4,578,3562,0,ProcessData,0,0,0
04:18:48,139.1,75.6,567,6252,0,ProcessData,0,0,0
04:18:49,140.1,76.2,566,3086,0,ProcessData,0,0,0
04:18:50,141.2,69.8,578,4661,0,ProcessData,0,0,0
04:18:51,142.1,65.2,586,5205,0,ProcessData,0,0,0
04:18:52,143.2,80.0,559,4126,0,ProcessData,0,0,0
04:18:53,144.0,77.3,573,3970,0,ProcessData,0,0,0
04:18:54,145.1,70.9,585,8889,0,ProcessData,0,0,0
04:18:55,146.1,67.3,593,4961,0,ProcessData,0,0,0
04:18:56,147.0,76.0,600,2971,0,ProcessData,0,0,0
04:18:57,148.1,62.0,594,8253,0,ProcessData,0,0,0
04:18:58,149.1,70.2,599,2803,0,ProcessData,0,0,0
04:18:59,150.1,70.6,612,9835,0,ProcessData,0,0,0
04:19:00,151.2,67.6,622,3734,0,ProcessData,0,0,0
04:19:01,152.1,56.2,623,7732,0,ProcessData,0,0,0
04:19:02,153.6,67.1,617,9079,501,ProcessData,0,0,0
04:19:03,154.1,71.9,626,2338,0,ProcessData,0,0,0
04:19:04,155.1,66.6,619,7443,0,ProcessData,0,0,0
04:19:05,156.3,72.7,631,5580,240,ProcessData,0,0,0
04:19:06,157.1,68.1,640,6180,0,ProcessData,0,0,0
04:19:07,158.1,75.0,642,9112,0,ProcessData,0,0,0
04:19:08,159.1,74.6,637,0,0,ProcessData,0,0,0
04:19:09,160.3,65.2,647,8360,236,ProcessData,0,0,0
04:19:10,161.2,75.5,651,4676,0,ProcessData,0,0,0
04:19:11,162.1,74.5,643,1434,0,ProcessData,0,0,0
04:19:12,163.1,68.7,661,7987,0,ProcessData,0,0,0
04:19:13,164.1,76.0,664,2731,0,ProcessData,0,0,0
04:19:14,165.1,73.1,670,3319,0,ProcessData,0,0,0
04:19:15,166.1,70.5,663,3083,0,ProcessData,0,0,0
04:19:16,167.2,72.3,668,4194,0,ProcessData,0,0,0
04:19:17,168.1,67.3,671,1649,0,ProcessData,0,0,0
04:19:18,169.3,76.4,665,7454,0,ProcessData,0,0,0
04:19:19,170.0,73.8,674,4371,0,ProcessData,0,0,0
04:19:20,171.2,70.0,671,5754,0,ProcessData,0,0,0
04:19:21,172.1,73.0,663,1432,0,ProcessData,0,0,0
04:19:22,173.1,69.3,659,8048,0,ProcessData,0,0,0
04:19:23,174.3,72.5,652,4679,209,ProcessData,0,0,0
04:19:24,175.2,72.7,655,2218,0,ProcessData,0,0,0
04:19:25,176.1,65.2,663,7635,0,ProcessData,0,0,0
04:19:26,177.1,76.3,678,3164,0,ProcessData,0,0,0
04:19:27,178.0,71.2,685,1601,0,ProcessData,0,0,0
04:19:28,179.1,72.0,684,3556,0,ProcessData,0,0,0
04:19:29,180.1,77.3,689,1301,0,ProcessData,0,0,0
04:19:30,181.2,77.6,694,6699,0,ProcessData,0,0,0
04:19:31,182.4,64.7,700,1253,241,ProcessData,0,0,0
04:19:32,183.0,69.7,727,2344,0,ProcessData,0,0,0
04:19:33,184.5,73.6,711,1953,412,ProcessData,0,0,0
04:19:34,185.1,68.0,714,3454,0,ProcessData,0,0,0
04:19:35,186.0,72.6,711,1189,0,ProcessData,0,0,0
04:19:36,187.4,65.4,688,5502,377,ProcessData,0,0,0
